1	13	2
1	23	3
1	28	1
1	44	2
1	45	1
1	54	3
1	77	3
1	78	1
2	12	1
2	18	1
2	19	1
2	22	1
2	23	1
2	24	4
2	50	2
2	68	1
2	73	2
2	77	1
4	44	2
4	54	1
4	77	2
7	13	1
7	19	1
7	30	1
7	50	1
7	66	1
11	44	1
11	45	1
11	64	1
11	68	1
11	73	1
11	78	1
12	14	1
12	19	1
12	22	1
12	59	1
12	66	2
12	77	3
13	18	1
13	24	1
13	28	1
13	30	1
13	34	1
13	39	3
13	41	1
13	44	2
13	45	1
13	46	1
13	50	8
13	59	1
13	65	1
13	66	1
13	71	1
13	77	2
14	19	1
14	51	1
14	59	2
14	66	3
14	77	2
14	78	1
17	24	1
17	30	1
17	53	3
17	62	2
17	64	2
17	74	1
18	22	1
18	24	3
18	34	1
18	50	1
18	51	1
18	67	3
18	68	2
18	73	1
18	78	1
19	23	1
19	59	1
19	66	4
19	77	1
22	24	2
22	66	1
22	67	1
22	77	1
22	78	1
23	24	3
23	28	1
23	34	2
23	44	3
23	54	1
23	73	1
23	78	2
24	30	1
24	41	1
24	44	2
24	45	1
24	51	2
24	57	1
24	66	2
24	67	2
24	68	1
24	74	1
24	77	2
24	78	9
26	34	2
26	77	1
26	78	2
28	34	1
28	45	1
28	46	1
28	59	1
28	78	1
30	50	1
30	74	1
34	46	1
34	48	2
34	50	1
34	53	2
34	54	1
34	66	1
34	67	3
34	77	2
34	78	3
38	44	1
39	46	2
39	50	2
39	59	2
39	71	1
39	74	1
39	77	2
41	66	3
41	78	1
44	45	1
44	54	1
44	64	1
44	66	1
44	67	1
44	77	3
44	78	2
46	64	1
46	74	1
46	77	2
46	78	1
48	53	1
48	66	2
48	67	1
48	77	1
48	78	2
50	59	1
50	73	2
50	74	1
50	77	1
51	66	1
51	77	1
51	78	1
53	57	1
53	62	2
53	64	2
53	66	1
53	74	1
53	77	1
54	66	2
54	77	4
54	78	1
56	66	1
57	78	1
59	66	2
59	71	1
59	73	1
59	77	3
62	64	1
64	65	1
64	78	2
65	78	1
66	68	1
66	77	6
66	78	2
67	77	1
67	78	2
71	77	1
74	77	1
77	78	4
